objid,name_prefix,name,ra,declination,redshift,typeid,type,reporting_groupid,reporting_group,source_groupid,source_group,discoverydate,discoverymag,discmagfilter,filter,reporters,time_received,internal_names,Discovery_ADS_bibcode,Class_ADS_bibcodes,creationdate,lastmodified
167852,AT,2024adhj,91.564708,50.491417,,,,10.0,XOSS,10.0,XOSS,2024-12-03 22:28:55.200,18.23,1.0,Clear,"Jianlin Xu, Mi Zhang, Guoyou Sun, Jiangao Ruan, Jingyuan Zhao, Wenjie Zhou, Yong Ma, Quanzhi Ye, Zhuoyang Chen (Xingming Obs.), Hanjie Tan (AUUK), Guangwei Wu (NAAA), Xing Gao, Ali Esamdin, Chunhai Bai, Yong Wang (XAO), on behalf of the KATS team",2024-12-03 23:56:29,KATS24X001,,,2024-12-03 23:56:30,2024-12-03 23:56:30
167851,AT,2024adhi,165.550285,-4.500053,,,,59.0,GOTO,59.0,GOTO,2024-12-01 05:07:46.272,19.56,120.0,L,"D. O'Neill, G. Ramsay, K. Ackley, M. Dyer, F. Jiménez-Ibarra, J. Lyman, K. Ulaczyk, D. Steeghs, D. Galloway, V. Dhillon, P. O'Brien, K. Noysena, R. Kotak, R. Breton, L. Nuttall, E. Pallé, D. Pollacco, T. Killestein, A. Kumar, on behalf of GOTO collaboration",2024-12-03 21:23:25,GOTO24irx,,,2024-12-03 21:23:27,2024-12-03 21:23:27
167850,AT,2024adhh,203.986204,12.525781,,,,59.0,GOTO,59.0,GOTO,2024-12-01 06:32:06.720,18.71,120.0,L,"D. O'Neill, G. Ramsay, K. Ackley, M. Dyer, F. Jiménez-Ibarra, J. Lyman, K. Ulaczyk, D. Steeghs, D. Galloway, V. Dhillon, P. O'Brien, K. Noysena, R. Kotak, R. Breton, L. Nuttall, E. Pallé, D. Pollacco, T. Killestein, A. Kumar, on behalf of GOTO collaboration",2024-12-03 21:21:07,GOTO24iqv,,,2024-12-03 21:21:08,2024-12-03 21:21:08
167849,AT,2024adhg,341.908951894,17.3511565019,,,,83.0,YSE,4.0,Pan-STARRS,2024-12-02 06:21:29.952,19.97,56.0,g,"D. O. Jones (UC Santa Cruz), K. D. French (Carnegie, Illinois), A. Agnello, C. R. Angus, Z. Ansari, N. Arendse, C. Gall, C. Grillo, S. H. Bruun, C. Hede, J. Hjorth, L. Izzo, H. Korhonen, S. Raimundo, D. Kodi Ramanah, A. Sarangi, R. Wojtak, H. Pfister (DARK, U Copenhagen), K. Auchettl (DARK, UC Santa Cruz, U Melbourne), K. C. Chambers, M. E. Huber, E. A. Magnier, T. J. L. de Boer, J. R. Fairlamb, C. C. Lin, R. J. Wainscoat, T. Lowe, H. Gao, J. Herman, A. S. B. Schultz, P. Minguez (IfA, Hawaii), A. Engel, A. Gagliano, G. Narayan, M. Soraisam (Illinois), Q. Wang (JHU), A. Rest (JHU, STScI), S. J. Smartt, K. W. Smith (Queen's University Belfast), K. Alexander, P. Blanchard, L. DeMarchi, A. Hajela, W. Jacobson-Galan, R. Margutti, D. Matthews, C. Stauffer, M. Stroh, G. Terreran (Northwestern), M. Drout (U Toronto), D. A. Coulter, G. Dimitriadis, R. J. Foley, T. Hung, C. D. Kilpatrick, C. Rojas-Bravo, M. R. Siebert (UC Santa Cruz), E. Ramirez-Ruiz (UC Santa Cruz, DARK)",2024-12-03 19:48:54,PS24mgt,,,2024-12-03 19:48:55,2024-12-03 19:48:55
167848,AT,2024adhf,172.538846,-13.748777,,,,59.0,GOTO,59.0,GOTO,2024-12-01 06:27:19.872,14.9,120.0,L,"D. O'Neill, K. Ackley, M. Dyer, F. Jiménez-Ibarra, J. Lyman, K. Ulaczyk, D. Steeghs, D. Galloway, V. Dhillon, P. O'Brien, G. Ramsay, K. Noysena, R. Kotak, R. Breton, L. Nuttall, E. Pallé, D. Pollacco, T. Killestein, A. Kumar, on behalf of GOTO collaboration",2024-12-03 15:11:28,GOTO24iqy,,,2024-12-03 15:11:29,2024-12-03 15:11:29
167846,AT,2024adhd,293.769667,19.55315,,,,24.0,GaiaAlerts,24.0,GaiaAlerts,2024-11-30 19:35:02.400,18.52,75.0,G,"S.T. Hodgkin, E. Breedt, A. Delgado, D.L. Harrison, M. van Leeuwen, G. Rixon, T. Wevers, A. Yoldas (IoA Cambridge), N. Ihanec, K. Kruszyńska, K.A. Rybicki, Ł. Wyrzykowski (Warsaw University Astronomical Observatory), Z. Kostrzewa-Rutkowska (Leiden Observatory), D. Eappachen (SRON/RU), G. Marton (Konkoly Observatory), on behalf of the Gaia Alerts team",2024-12-03 14:55:40,Gaia24dng,,,2024-12-03 14:55:41,2024-12-03 14:55:41
167845,AT,2024adhc,99.23625,-21.2816,,,,24.0,GaiaAlerts,24.0,GaiaAlerts,2024-11-30 06:44:38.400,19.69,75.0,G,"S.T. Hodgkin, E. Breedt, A. Delgado, D.L. Harrison, M. van Leeuwen, G. Rixon, T. Wevers, A. Yoldas (IoA Cambridge), N. Ihanec, K. Kruszyńska, K.A. Rybicki, Ł. Wyrzykowski (Warsaw University Astronomical Observatory), Z. Kostrzewa-Rutkowska (Leiden Observatory), D. Eappachen (SRON/RU), G. Marton (Konkoly Observatory), on behalf of the Gaia Alerts team",2024-12-03 14:55:26,Gaia24dne,,,2024-12-03 14:55:27,2024-12-03 14:55:27
167844,AT,2024adhb,190.53,12.240839,,,,24.0,GaiaAlerts,24.0,GaiaAlerts,2024-11-30 03:12:57.600,17.66,75.0,G,"S.T. Hodgkin, E. Breedt, A. Delgado, D.L. Harrison, M. van Leeuwen, G. Rixon, T. Wevers, A. Yoldas (IoA Cambridge), N. Ihanec, K. Kruszyńska, K.A. Rybicki, Ł. Wyrzykowski (Warsaw University Astronomical Observatory), Z. Kostrzewa-Rutkowska (Leiden Observatory), D. Eappachen (SRON/RU), G. Marton (Konkoly Observatory), on behalf of the Gaia Alerts team",2024-12-03 14:55:09,Gaia24dnb,,,2024-12-03 14:55:09,2024-12-03 14:55:09
167843,AT,2024adha,146.913217,7.598356,,,,60.0,BlackGEM,60.0,BlackGEM,2024-11-26 07:36:18.000,19.91,118.0,BG-q,"F. Stoppa, P. Vreeswijk, G. Ramsay, P. Groot, S. Faris, J. van Roestel, H. Wichern, N. Blagorodnova, H. Tranin, D. Pieterse",2024-12-03 14:39:50,BGEM J094739.17+073554.0,,,2024-12-03 14:39:51,2024-12-03 14:39:51
167842,AT,2024adgz,283.3570439,30.0285147,,,,74.0,ALeRCE,48.0,ZTF,2024-12-03 02:29:06.003,18.8851,111.0,r,"A. Munoz-Arancibia, F.E. Bauer, G. Pignata, F. Forster, A. Mourao, L. Hernandez-Garcia, L. Galbany, J. Silva-Farfan, R. Dastidar, J.P. Brandt, A. Alvarez, G. Cabrera-Vives, R. Carrasco-Davis, P.A. Estevez, B. Gamboa, P. Huijse, H. Larranaga, C. Mansilla, K. Medina, D. Moreno, E. Munoz, I. Reyes, P. Sanchez-Saez, D. Rodriguez-Mancini, M. Catelan, S. Eyheramendy, M.J. Graham on behalf of the ALeRCE broker",2024-12-03 14:03:29,ZTF18aavzawy,,,2024-12-03 14:03:37,2024-12-03 14:03:37
167841,AT,2024adgy,11.419082849995595,24.784212850000092,,,,74.0,ALeRCE,48.0,ZTF,2024-11-29 03:40:11.001,20.1169,110.0,g,"A. Munoz-Arancibia, F.E. Bauer, G. Pignata, F. Forster, A. Mourao, L. Hernandez-Garcia, L. Galbany, J. Silva-Farfan, R. Dastidar, J.P. Brandt, A. Alvarez, G. Cabrera-Vives, R. Carrasco-Davis, P.A. Estevez, B. Gamboa, P. Huijse, H. Larranaga, C. Mansilla, K. Medina, D. Moreno, E. Munoz, I. Reyes, P. Sanchez-Saez, D. Rodriguez-Mancini, M. Catelan, S. Eyheramendy, M.J. Graham on behalf of the ALeRCE broker",2024-12-03 14:03:29,ZTF24abuctpt,,,2024-12-03 14:03:37,2024-12-03 14:03:37
167840,AT,2024adgx,334.8551636,28.6598881,,,,74.0,ALeRCE,48.0,ZTF,2024-12-03 02:58:26.999,20.2613,110.0,g,"A. Munoz-Arancibia, F.E. Bauer, G. Pignata, F. Forster, A. Mourao, L. Hernandez-Garcia, L. Galbany, J. Silva-Farfan, R. Dastidar, J.P. Brandt, A. Alvarez, G. Cabrera-Vives, R. Carrasco-Davis, P.A. Estevez, B. Gamboa, P. Huijse, H. Larranaga, C. Mansilla, K. Medina, D. Moreno, E. Munoz, I. Reyes, P. Sanchez-Saez, D. Rodriguez-Mancini, M. Catelan, S. Eyheramendy, M.J. Graham on behalf of the ALeRCE broker",2024-12-03 14:03:29,ZTF24aburdxa,,,2024-12-03 14:03:36,2024-12-03 14:03:36
167839,AT,2024adgw,320.6521849,14.6052549,,,,74.0,ALeRCE,48.0,ZTF,2024-12-03 02:38:42.999,19.8115,110.0,g,"A. Munoz-Arancibia, F.E. Bauer, G. Pignata, F. Forster, A. Mourao, L. Hernandez-Garcia, L. Galbany, J. Silva-Farfan, R. Dastidar, J.P. Brandt, A. Alvarez, G. Cabrera-Vives, R. Carrasco-Davis, P.A. Estevez, B. Gamboa, P. Huijse, H. Larranaga, C. Mansilla, K. Medina, D. Moreno, E. Munoz, I. Reyes, P. Sanchez-Saez, D. Rodriguez-Mancini, M. Catelan, S. Eyheramendy, M.J. Graham on behalf of the ALeRCE broker",2024-12-03 14:03:29,ZTF24abvhchd,,,2024-12-03 14:03:35,2024-12-03 14:03:35
167838,AT,2024adgv,14.7899239,-1.8859001,,,,74.0,ALeRCE,48.0,ZTF,2024-12-03 04:03:01.002,20.3064,111.0,r,"A. Munoz-Arancibia, F.E. Bauer, G. Pignata, F. Forster, A. Mourao, L. Hernandez-Garcia, L. Galbany, J. Silva-Farfan, R. Dastidar, J.P. Brandt, A. Alvarez, G. Cabrera-Vives, R. Carrasco-Davis, P.A. Estevez, B. Gamboa, P. Huijse, H. Larranaga, C. Mansilla, K. Medina, D. Moreno, E. Munoz, I. Reyes, P. Sanchez-Saez, D. Rodriguez-Mancini, M. Catelan, S. Eyheramendy, M.J. Graham on behalf of the ALeRCE broker",2024-12-03 14:03:29,ZTF24abvifxm,,,2024-12-03 14:03:34,2024-12-03 14:03:34
167837,AT,2024adgu,42.187887,17.287025,,,,74.0,ALeRCE,48.0,ZTF,2024-12-03 06:14:48.002,20.2446,110.0,g,"A. Munoz-Arancibia, F.E. Bauer, G. Pignata, F. Forster, A. Mourao, L. Hernandez-Garcia, L. Galbany, J. Silva-Farfan, R. Dastidar, J.P. Brandt, A. Alvarez, G. Cabrera-Vives, R. Carrasco-Davis, P.A. Estevez, B. Gamboa, P. Huijse, H. Larranaga, C. Mansilla, K. Medina, D. Moreno, E. Munoz, I. Reyes, P. Sanchez-Saez, D. Rodriguez-Mancini, M. Catelan, S. Eyheramendy, M.J. Graham on behalf of the ALeRCE broker",2024-12-03 14:03:29,ZTF24abvjgoj,,,2024-12-03 14:03:33,2024-12-03 14:03:33
167836,AT,2024adgt,348.7750716,-0.8955629999999999,,,,74.0,ALeRCE,48.0,ZTF,2024-12-03 05:38:02.996,19.144,110.0,g,"A. Munoz-Arancibia, F.E. Bauer, G. Pignata, F. Forster, A. Mourao, L. Hernandez-Garcia, L. Galbany, J. Silva-Farfan, R. Dastidar, J.P. Brandt, A. Alvarez, G. Cabrera-Vives, R. Carrasco-Davis, P.A. Estevez, B. Gamboa, P. Huijse, H. Larranaga, C. Mansilla, K. Medina, D. Moreno, E. Munoz, I. Reyes, P. Sanchez-Saez, D. Rodriguez-Mancini, M. Catelan, S. Eyheramendy, M.J. Graham on behalf of the ALeRCE broker",2024-12-03 14:03:29,ZTF24abvkswe,,,2024-12-03 14:03:32,2024-12-03 14:03:32
167835,AT,2024adgs,122.6383502,33.4932915,,,,74.0,ALeRCE,48.0,ZTF,2024-12-03 09:49:51.997,20.0086,111.0,r,"A. Munoz-Arancibia, F.E. Bauer, G. Pignata, F. Forster, A. Mourao, L. Hernandez-Garcia, L. Galbany, J. Silva-Farfan, R. Dastidar, J.P. Brandt, A. Alvarez, G. Cabrera-Vives, R. Carrasco-Davis, P.A. Estevez, B. Gamboa, P. Huijse, H. Larranaga, C. Mansilla, K. Medina, D. Moreno, E. Munoz, I. Reyes, P. Sanchez-Saez, D. Rodriguez-Mancini, M. Catelan, S. Eyheramendy, M.J. Graham on behalf of the ALeRCE broker",2024-12-03 14:03:29,ZTF24abvnmfb,,,2024-12-03 14:03:32,2024-12-03 14:03:32
