objid,name_prefix,name,ra,declination,redshift,typeid,type,reporting_groupid,reporting_group,source_groupid,source_group,discoverydate,discoverymag,discmagfilter,filter,reporters,time_received,internal_names,Discovery_ADS_bibcode,Class_ADS_bibcodes,creationdate,lastmodified
167232,AT,2024acjn,41.8496221731,5.63564714141,,,,4.0,Pan-STARRS,4.0,Pan-STARRS,2024-09-30 13:10:50.880,20.71,26.0,w,"K. C. Chambers, T. de Boer, J. Herman, J. Fairlamb, M. Huber, C.-C. Lin, T. Lowe, E. Magnier, A. Schultz, R. J. Wainscoat, H. Gao, P. Minguez (IfA, University of Hawaii), K. W. Smith, D. R. Young, S. Srivastav, M. Fulton, S. J. Smartt, M. Nicholl, T. Moore, J. Weston, C. R. Angus, S. Sim (Queen's University Belfast), D. E. Wright (University of Minnesota)",2024-11-27 00:03:37,PS24loa,,,2024-11-27 00:03:38,2024-11-27 00:03:38
167231,AT,2024acjm,82.1452272011,5.13468315683,,,,4.0,Pan-STARRS,4.0,Pan-STARRS,2024-09-28 12:54:24.192,20.61,26.0,w,"K. C. Chambers, T. de Boer, J. Herman, J. Fairlamb, M. Huber, C.-C. Lin, T. Lowe, E. Magnier, A. Schultz, R. J. Wainscoat, H. Gao, P. Minguez (IfA, University of Hawaii), K. W. Smith, D. R. Young, S. Srivastav, M. Fulton, S. J. Smartt, M. Nicholl, T. Moore, J. Weston, C. R. Angus, S. Sim (Queen's University Belfast), D. E. Wright (University of Minnesota)",2024-11-27 00:03:04,PS24lny,,,2024-11-27 00:03:05,2024-11-27 00:03:05
167230,AT,2024acjl,338.812775882,0.355357555562,,,,4.0,Pan-STARRS,4.0,Pan-STARRS,2024-09-11 08:30:40.896,20.75,26.0,w,"K. C. Chambers, T. de Boer, J. Herman, J. Fairlamb, M. Huber, C.-C. Lin, T. Lowe, E. Magnier, A. Schultz, R. J. Wainscoat, H. Gao, P. Minguez (IfA, University of Hawaii), K. W. Smith, D. R. Young, S. Srivastav, M. Fulton, S. J. Smartt, M. Nicholl, T. Moore, J. Weston, C. R. Angus, S. Sim (Queen's University Belfast), D. E. Wright (University of Minnesota)",2024-11-27 00:02:48,PS24lnx,,,2024-11-27 00:02:49,2024-11-27 00:02:49
167229,AT,2024acjk,10.0692701627,4.57507940945,,,,4.0,Pan-STARRS,4.0,Pan-STARRS,2024-09-27 08:26:17.376,20.73,26.0,w,"K. C. Chambers, T. de Boer, J. Herman, J. Fairlamb, M. Huber, C.-C. Lin, T. Lowe, E. Magnier, A. Schultz, R. J. Wainscoat, H. Gao, P. Minguez (IfA, University of Hawaii), K. W. Smith, D. R. Young, S. Srivastav, M. Fulton, S. J. Smartt, M. Nicholl, T. Moore, J. Weston, C. R. Angus, S. Sim (Queen's University Belfast), D. E. Wright (University of Minnesota)",2024-11-27 00:02:36,PS24lnw,,,2024-11-27 00:02:37,2024-11-27 00:02:37
167228,AT,2024acjj,61.5702532717,-9.88609476336,,,,4.0,Pan-STARRS,4.0,Pan-STARRS,2024-09-28 14:25:41.088,19.54,26.0,w,"K. C. Chambers, T. de Boer, J. Herman, J. Fairlamb, M. Huber, C.-C. Lin, T. Lowe, E. Magnier, A. Schultz, R. J. Wainscoat, H. Gao, P. Minguez (IfA, University of Hawaii), K. W. Smith, D. R. Young, S. Srivastav, M. Fulton, S. J. Smartt, M. Nicholl, T. Moore, J. Weston, C. R. Angus, S. Sim (Queen's University Belfast), D. E. Wright (University of Minnesota)",2024-11-27 00:02:10,PS24lnv,,,2024-11-27 00:02:11,2024-11-27 00:02:11
167227,AT,2024acji,351.061877252,14.3980508784,,,,4.0,Pan-STARRS,4.0,Pan-STARRS,2024-09-07 09:13:07.104,20.75,26.0,w,"K. C. Chambers, T. de Boer, J. Herman, J. Fairlamb, M. Huber, C.-C. Lin, T. Lowe, E. Magnier, A. Schultz, R. J. Wainscoat, H. Gao, P. Minguez (IfA, University of Hawaii), K. W. Smith, D. R. Young, S. Srivastav, M. Fulton, S. J. Smartt, M. Nicholl, T. Moore, J. Weston, C. R. Angus, S. Sim (Queen's University Belfast), D. E. Wright (University of Minnesota)",2024-11-27 00:01:12,PS24lnt,,,2024-11-27 00:01:13,2024-11-27 00:01:13
167226,AT,2024acjh,323.410952552,-0.571203036495,,,,4.0,Pan-STARRS,4.0,Pan-STARRS,2024-10-04 05:30:06.336,20.8,26.0,w,"K. C. Chambers, T. de Boer, J. Herman, J. Fairlamb, M. Huber, C.-C. Lin, T. Lowe, E. Magnier, A. Schultz, R. J. Wainscoat, H. Gao, P. Minguez (IfA, University of Hawaii), K. W. Smith, D. R. Young, S. Srivastav, M. Fulton, S. J. Smartt, M. Nicholl, T. Moore, J. Weston, C. R. Angus, S. Sim (Queen's University Belfast), D. E. Wright (University of Minnesota)",2024-11-27 00:00:50,PS24lns,,,2024-11-27 00:00:51,2024-11-27 00:00:51
167225,AT,2024acjg,60.3074185491,-24.5896676377,,,,4.0,Pan-STARRS,4.0,Pan-STARRS,2024-09-23 14:10:08.832,20.32,26.0,w,"K. C. Chambers, T. de Boer, J. Herman, J. Fairlamb, M. Huber, C.-C. Lin, T. Lowe, E. Magnier, A. Schultz, R. J. Wainscoat, H. Gao, P. Minguez (IfA, University of Hawaii), K. W. Smith, D. R. Young, S. Srivastav, M. Fulton, S. J. Smartt, M. Nicholl, T. Moore, J. Weston, C. R. Angus, S. Sim (Queen's University Belfast), D. E. Wright (University of Minnesota)",2024-11-27 00:00:33,PS24lnq,,,2024-11-27 00:00:34,2024-11-27 00:00:34
167224,AT,2024acjf,351.343280885,-13.3373446403,,,,4.0,Pan-STARRS,4.0,Pan-STARRS,2024-10-05 08:32:34.944,21.04,26.0,w,"K. C. Chambers, T. de Boer, J. Herman, J. Fairlamb, M. Huber, C.-C. Lin, T. Lowe, E. Magnier, A. Schultz, R. J. Wainscoat, H. Gao, P. Minguez (IfA, University of Hawaii), K. W. Smith, D. R. Young, S. Srivastav, M. Fulton, S. J. Smartt, M. Nicholl, T. Moore, J. Weston, C. R. Angus, S. Sim (Queen's University Belfast), D. E. Wright (University of Minnesota)",2024-11-27 00:00:28,PS24lnp,,,2024-11-27 00:00:30,2024-11-27 00:00:30
161412,SN,2024utw,31.2370867695,19.5800810565,0.067,3.0,SN Ia,48.0,ZTF,48.0,ZTF,2024-09-02 10:13:04.998,20.917,111.0,r,"Jesper Sollerman (SU), Christoffer Fremling (Caltech), Daniel Perley (LJMU), Theophile du Laz (Caltech) on behalf of ZTF",2024-09-06 10:53:10,"ZTF24abfsxul, ATLAS24obp, GOTO24ftk, PS24lno",2024TNSTR3345....1S,2024TNSCR3508....1F,2024-09-06 10:53:11,2024-11-27 00:00:20
159851,AT,2024sml,28.6998927825,-6.11163547666,,,,48.0,ZTF,48.0,ZTF,2024-08-17 09:36:25.997,20.026,110.0,g,"Jesper Sollerman (SU), Christoffer Fremling (Caltech), Daniel Perley (LJMU), Theophile du Laz (Caltech) on behalf of ZTF",2024-08-22 11:23:52,"ZTF24abbxukc, ATLAS24nqh, PS24lnz",2024TNSTR3041....1S,,2024-08-22 11:23:53,2024-11-27 00:03:16
158810,AT,2024raq,36.8712013439,-5.82244182045,,,,83.0,YSE,4.0,Pan-STARRS,2024-08-01 14:26:51.936,20.46,58.0,i,"D. O. Jones (UC Santa Cruz), K. D. French (Carnegie, Illinois), A. Agnello, C. R. Angus, Z. Ansari, N. Arendse, C. Gall, C. Grillo, S. H. Bruun, C. Hede, J. Hjorth, L. Izzo, H. Korhonen, S. Raimundo, D. Kodi Ramanah, A. Sarangi, R. Wojtak, H. Pfister (DARK, U Copenhagen), K. Auchettl (DARK, UC Santa Cruz, U Melbourne), K. C. Chambers, M. E. Huber, E. A. Magnier, T. J. L. de Boer, J. R. Fairlamb, C. C. Lin, R. J. Wainscoat, T. Lowe, H. Gao, J. Herman, A. S. B. Schultz, P. Minguez (IfA, Hawaii), A. Engel, A. Gagliano, G. Narayan, M. Soraisam (Illinois), Q. Wang (JHU), A. Rest (JHU, STScI), S. J. Smartt, K. W. Smith (Queen's University Belfast), K. Alexander, P. Blanchard, L. DeMarchi, A. Hajela, W. Jacobson-Galan, R. Margutti, D. Matthews, C. Stauffer, M. Stroh, G. Terreran (Northwestern), M. Drout (U Toronto), D. A. Coulter, G. Dimitriadis, R. J. Foley, T. Hung, C. D. Kilpatrick, C. Rojas-Bravo, M. R. Siebert (UC Santa Cruz), E. Ramirez-Ruiz (UC Santa Cruz, DARK)",2024-08-03 19:01:49,PS24hiw,2024TNSTR2744....1J,,2024-08-03 19:01:50,2024-11-27 00:01:58
167223,AT,2024acje,75.1874981912,-13.9244525775,,,,4.0,Pan-STARRS,4.0,Pan-STARRS,2024-10-10 13:54:35.712,20.75,26.0,w,"K. C. Chambers, T. de Boer, J. Herman, J. Fairlamb, M. Huber, C.-C. Lin, T. Lowe, E. Magnier, A. Schultz, R. J. Wainscoat, H. Gao, P. Minguez (IfA, University of Hawaii), K. W. Smith, D. R. Young, S. Srivastav, M. Fulton, S. J. Smartt, M. Nicholl, T. Moore, J. Weston, C. R. Angus, S. Sim (Queen's University Belfast), D. E. Wright (University of Minnesota)",2024-11-26 23:59:16,PS24lnn,,,2024-11-26 23:59:17,2024-11-26 23:59:17
167222,AT,2024acjd,311.149095373,-23.845631639,,,,4.0,Pan-STARRS,4.0,Pan-STARRS,2024-09-04 07:42:50.688,20.9,26.0,w,"K. C. Chambers, T. de Boer, J. Herman, J. Fairlamb, M. Huber, C.-C. Lin, T. Lowe, E. Magnier, A. Schultz, R. J. Wainscoat, H. Gao, P. Minguez (IfA, University of Hawaii), K. W. Smith, D. R. Young, S. Srivastav, M. Fulton, S. J. Smartt, M. Nicholl, T. Moore, J. Weston, C. R. Angus, S. Sim (Queen's University Belfast), D. E. Wright (University of Minnesota)",2024-11-26 23:57:46,PS24lnl,,,2024-11-26 23:57:46,2024-11-26 23:57:46
167221,AT,2024acjc,28.8407911674,-6.51322545414,,,,4.0,Pan-STARRS,4.0,Pan-STARRS,2024-09-10 11:29:11.904,21.39,26.0,w,"K. C. Chambers, T. de Boer, J. Herman, J. Fairlamb, M. Huber, C.-C. Lin, T. Lowe, E. Magnier, A. Schultz, R. J. Wainscoat, H. Gao, P. Minguez (IfA, University of Hawaii), K. W. Smith, D. R. Young, S. Srivastav, M. Fulton, S. J. Smartt, M. Nicholl, T. Moore, J. Weston, C. R. Angus, S. Sim (Queen's University Belfast), D. E. Wright (University of Minnesota)",2024-11-26 23:57:37,PS24lnk,,,2024-11-26 23:57:38,2024-11-26 23:57:38
167220,AT,2024acjb,42.7864037422,-7.76982190844,,,,4.0,Pan-STARRS,4.0,Pan-STARRS,2024-10-02 13:12:04.320,21.48,26.0,w,"K. C. Chambers, T. de Boer, J. Herman, J. Fairlamb, M. Huber, C.-C. Lin, T. Lowe, E. Magnier, A. Schultz, R. J. Wainscoat, H. Gao, P. Minguez (IfA, University of Hawaii), K. W. Smith, D. R. Young, S. Srivastav, M. Fulton, S. J. Smartt, M. Nicholl, T. Moore, J. Weston, C. R. Angus, S. Sim (Queen's University Belfast), D. E. Wright (University of Minnesota)",2024-11-26 23:56:48,PS24lni,,,2024-11-26 23:56:49,2024-11-26 23:56:49
167219,AT,2024acja,54.5494539697,-4.05200127021,,,,4.0,Pan-STARRS,4.0,Pan-STARRS,2024-10-10 11:23:47.040,21.27,26.0,w,"K. C. Chambers, T. de Boer, J. Herman, J. Fairlamb, M. Huber, C.-C. Lin, T. Lowe, E. Magnier, A. Schultz, R. J. Wainscoat, H. Gao, P. Minguez (IfA, University of Hawaii), K. W. Smith, D. R. Young, S. Srivastav, M. Fulton, S. J. Smartt, M. Nicholl, T. Moore, J. Weston, C. R. Angus, S. Sim (Queen's University Belfast), D. E. Wright (University of Minnesota)",2024-11-26 23:56:36,PS24lnh,,,2024-11-26 23:56:37,2024-11-26 23:56:37
167218,AT,2024aciz,55.3031380175,14.3631688543,,,,4.0,Pan-STARRS,4.0,Pan-STARRS,2024-09-26 12:01:52.320,20.84,26.0,w,"K. C. Chambers, T. de Boer, J. Herman, J. Fairlamb, M. Huber, C.-C. Lin, T. Lowe, E. Magnier, A. Schultz, R. J. Wainscoat, H. Gao, P. Minguez (IfA, University of Hawaii), K. W. Smith, D. R. Young, S. Srivastav, M. Fulton, S. J. Smartt, M. Nicholl, T. Moore, J. Weston, C. R. Angus, S. Sim (Queen's University Belfast), D. E. Wright (University of Minnesota)",2024-11-26 23:56:22,PS24lng,,,2024-11-26 23:56:23,2024-11-26 23:56:23
167217,AT,2024aciy,41.1995064418,18.5708831689,,,,4.0,Pan-STARRS,4.0,Pan-STARRS,2024-09-10 11:51:56.160,21.08,26.0,w,"K. C. Chambers, T. de Boer, J. Herman, J. Fairlamb, M. Huber, C.-C. Lin, T. Lowe, E. Magnier, A. Schultz, R. J. Wainscoat, H. Gao, P. Minguez (IfA, University of Hawaii), K. W. Smith, D. R. Young, S. Srivastav, M. Fulton, S. J. Smartt, M. Nicholl, T. Moore, J. Weston, C. R. Angus, S. Sim (Queen's University Belfast), D. E. Wright (University of Minnesota)",2024-11-26 23:56:01,PS24lne,,,2024-11-26 23:56:02,2024-11-26 23:56:02
167216,AT,2024acix,37.8242004435,-16.3390937251,,,,4.0,Pan-STARRS,4.0,Pan-STARRS,2024-10-04 11:32:35.808,20.89,26.0,w,"K. C. Chambers, T. de Boer, J. Herman, J. Fairlamb, M. Huber, C.-C. Lin, T. Lowe, E. Magnier, A. Schultz, R. J. Wainscoat, H. Gao, P. Minguez (IfA, University of Hawaii), K. W. Smith, D. R. Young, S. Srivastav, M. Fulton, S. J. Smartt, M. Nicholl, T. Moore, J. Weston, C. R. Angus, S. Sim (Queen's University Belfast), D. E. Wright (University of Minnesota)",2024-11-26 23:55:52,PS24lnd,,,2024-11-26 23:55:53,2024-11-26 23:55:53
